Description,Location,Name,Price,CreatedAt,UpdatedAt,Status,Category,Views,HouseType,LatLng_Lat,LatLng_Lng,Gender
"Pessoal,
Tá vagando um quarto aqui no apartamento pra início de outubro! Apê lindo, tudo novinho, parece uma casinha, mas fica no terceiro andar, com jardim, piscina com sol da manhã, chuveirão, tudo de uso exclusivo nosso.
Fica em Icaraí, na Pres. Backer, proximo ao Campo de São Bento, tem ônibus pro Rio na porta.
O quarto era um closet/escritório, é individual, tem cama e prateleiras. O ambiente da casa é muito legal, tranquilo, criativo, passarinhos, música, comidas. Dividimos as tarefas. Com o novo morador seremos 5 pessoas. 
Não é república, dividimos a casa, juntos. R$ 675,00 mensal, todas as taxas, aluguel, condomínio, IPTU, luz, internet, TV a cabo.
Falem comigo inbox, pfvr.
Não aceitamos bolsominions.  
Beijo!","Icaraí, Niterói - State of Rio de Janeiro, Brazil",Quarto em Icaraí,675,2020-08-31 01:58:09.8710308,2020-08-31 01:58:09.8710308,Deleted,0,44,0,-22.9043971,-43.1093638,0
"Fala, galera!! 

Estamos com uma vaga no nosso apê em Icaraí. São 3 quartos individuais e atualmente temos um livre. 

O apê tá completinho, temos sofá, mesa de jantar, tv, impressora, rede, internet 5g, tudo que possa precisar pra fazer um jantarzão na cozinha, então é só se mudar e morar! 

O quarto em questão tem um armário grande, escrivaninha e ventilador de teto. Há uma cama de solteiro com possibilidade de ficar no quarto, depende do novo morador.

O valor é 785 de aluguel e condomínio + uma média de 120 reais de contas, por isso na descrição da vaga colocamos 900 reais.
Aqui é perto de tudo que possa precisar, comércio, bancos, pontos de ônibus e praia. 

Marca uma visita com a gente e vem conhecer!","Rua Comendador Queirós - Icaraí, Niterói - RJ, Brasil",Quarto Individual em Icaraí,900,2020-09-30 12:33:38.3648503,2020-11-11 04:49:47.3642566,Deleted,0,141,0,-22.9107423,-43.108046,0
"RESIDENCIAL VILLAGE

•Residencial com 45 suítes
• contrato de 3 meses de aluguel.
  - Sem exigência de fiador
  - Sem burocracia
  - Taxa de garantia de 50% do valor do aluguel
   
Suíte equipada com:

• Cama box
• Mesa de estudo
• Cadeira           
• Roupeiro
• Ar condicionado  
• Televisão de led  
• Frigobar
• Banheiro com blindex

Estrutura com:

• Wi-Fi
• Interfone
• Lavanderia 
• Cozinha compartilhada 
  - fogão
  - microondas    
  - forno elétrico      
  - liquidificador  
  - cafeteira 
  - sanduicheira 
• Bicicletário 
• Câmeras 24 horas
• Refeitório / sala de estudo
• Zelador
• Manutenção

 Nossos valores:
 
• Suíte individual
R$ 1100,00 de aluguel  + conta de luz

• Suíte casal
R$ 1.300,00 de aluguel  + conta de luz 

• Suíte dupla
R$ 1.400,00 de aluguel  + conta de luz 

Obs.: à partir de abril voltaremos a ter o valor do condomínio de 100 reais por unidade.

- Cada suíte possui seu próprio medidor.

https://www.facebook.com/residencialvillageniteroi/

https://instagram.com/residencialvillage","Rua General Osório - São Domingos, Niterói - RJ, Brasil",RESIDENCIAL VILLAGE,1100,2020-10-09 01:23:25.1811232,2020-10-09 01:27:04.7349709,Published,0,2517,0,-22.8995575,-43.1301889,0
"Quartos individuais mobiliados com contas inclusas, próximo UFF Plaza shopping estação barcas etc....","Rua General Osório - São Domingos, Niterói - RJ, Brasil",República São Domingos,800,2020-10-09 19:50:09.6813145,2020-12-13 08:16:49.0452618,Inactive,0,183,0,-22.8995575,-43.1301889,0
"Apartamento No Centro de Niterói : Rua Visconde de Itaboraí 1, fica a 3 minutos a pé dos ônibus que vão para o Rio, e a 15 minutos das Barcas!

✅Quartos coletivos para 3 rapazes a partir R$399*(promocional)

✅ Apartamento Mobiliado(não precisa trazer nada)

✅incluso: água, luz, internet, gás, condomínio, aluguel.

✅ Condomínio com: Piscina, Academia, Sauna, Natação, Bar e restaurante exclusivo! Salão de Jogos, Quadra e etc! 

✅ SEM BUROCRACIA, flexibilidade de tempo, sem contratos!

✅ Ambiente Tranquilo, Limpo, Agradável, para quem busca DESCANSO E nas horas vagas LAZER!

*Zelamos por um ambiente tranquilo para quem trabalha/estuda*","Rua Visconde de Itaboraí - Centro, Niterói - RJ, Brasil",Vaga Compartilhada no Centro de Niterói,499,2020-10-14 12:05:57.1645064,2020-10-14 12:16:24.8220128,Published,2,841,0,-22.8863345,-43.1221739,2
"Então, pessoas bonitas, vai vagar um quarto aqui no nosso apartamento. A Vaga é para o quarto de dependência.

Quem Somos:
Eu (Clau), Júlia e João Pedro. Somos amigos dividindo um apartamento. Todos estudamos e ou trabalhamos. Somos pessoas muita de boas, adoramos memes, filmes, música, a nossa privacidade e o respeito a diversidade, por isso nada de bolsominions. Sem regras malucas, o bom senso e o diálogo imperam, por isso, visitas são aceitas dentro do critério do respeito ao espaço do outro e do bom senso. 

O espaço:
O apartamento está localizado no Centro de Niterói. Em frente ao Shopping Bay Market. Temos todos os eletrodomésticos básicos que uma casa precisa (máquina de lavar, fogão, micro-ondas, geladeira, sanduicheira, cafeteira, liquidificador).

A VAGA/VALORES:

- Para não Fumantes;

- Quarto individual 

- Valores: 280,00 aluguel + 200,00 contas = Total 480,00.

Para maiores informações  entrar em contato: whatsapp 21979926517 (Clau) ou in box.","Avenida Visconde do Rio Branco - Centro, Niterói - RJ, Brasil","VAGA - QUARTO INDIVIDUAL - CENTRO, NITERÓI",480,2020-10-14 21:44:36.8647740,2021-03-14 10:09:14.5195161,Deleted,0,1749,0,-22.8913736,-43.1239612,0
"Quarto induvidual em São paulo, bairro Jahuaré, Proximo de tudo. Banheiros coletivos e incluso água, luz , internet , cozinha com fogão,microondas e geladeira, maquina de lavar roupa. Sem burocracia. PAGOU MOROU
Faço diária 50 reais e mensal 1,500 reais
","São Paulo, SP, Brasil",Quarto individual pra mulheres,1500,2020-10-15 00:12:47.3819432,,Inactive,1,1,0,-23.5505199,-46.6333094,1
"Quarto individual para mulheres, apt todo mobiliado em prédio de 15 andares com porteiro 24h. Próximo a mercados, farmácias e academias. Ônibus 49 e 45 deixando na porta de casa. 

Fácil acesso para o Rio de Janeiro e São Gonçalo. Uber chega em menos de 5 minutos. 

Casa tranquila, ideal para estudantes que precisam se concentrar. 

Não recebemos hospedes para dormir. Visita somente para estudar. ","Niterói, RJ, Brasil","700,00",70000,2020-10-19 17:23:23.6090752,,Deleted,0,0,0,-22.8859267,-43.1152587,0
"ALUGO SUÍTE EM NITERÓI
Alugo 1 suíte (quarto com banheiro privado) em casa de vila fechada e familiar no bairro residencial de Santa Rosa/Jardim Icaraí em local privilegiado pelo comércio (mercados, bancos, academias, farmácias, padarias, etc) e tb por linhas de ônibus para todos os lugares. A suíte NÃO ESTÁ MOBILIADA mas possui 2 ventiladores de teto e 15 metros quadrados (fica no andar térreo da casa). O inquilino pode usar a cozinha e área de serviço com tudo que há nelas (louças, panelas, talheres, eletrodomésticos, fogão de 6 bocas, geladeira, máquina de lavar, filtro de água gelada, microondas, forno elétrico, etc). O ALUGUEL por 900,00 cada suíte inclui água, luz e internet. Rachamos o gás de cozinha. São 3 suítes na casa, 3 moradores. Tenho uma vaga (10 metros quadrados) coberta para carro na vila que alugo por 300 reais (10 reais por cada dia do mês). O proprietário garante um ambiente seguro, organizado, tranquilo e limpo.Tratar pelo cel/whats (21) 99618 9579. NÃO É REPÚBLICA. Somente para homens ou mulheres solteiros ocupados durante a semana com trabalho ou estudo (não aceito casais, idosos, fumantes, crianças e animais). Localização: rua Santa Rosa, trecho entre a Domingues de Sá e a Miguel Couto (antes do largo). Perto das faculdades de Farmácia e Veterinária da UFF, do HUAP, do colégio Salesiano e da UNI LASALLE.","Niterói, RJ, Brasil",SUÍTE EM NITERÓI,900,2020-10-19 19:55:06.1190950,2020-10-22 15:29:45.9877692,Published,0,1087,0,-22.8859267,-43.1152587,0
"Alugo um quarto em apto familiar, só mora eu e meu filho de 3 anos, trabalho fora e meu filho fica na creche. Estamos em casa nos fins de semana. ","Catete, Rio de Janeiro - RJ, Brasil",Quarto,700,2020-10-20 09:39:11.4659663,2020-10-20 09:53:55.6175471,Deleted,1,162,0,-22.9279602,-43.1807701,1
